major,contig,power,maxdem,mindem,years,class
0,0,0.737793803,0,-5,0,0
0,0,0.135222599,-7,-10,0,0
0,0,0.033316601,10,-5,0,0
0,0,0.764927685,10,2,0,0
1,0,0.476666003,10,-3,0,1
1,0,0.081351899,10,-1,0,1
0,0,0.453905702,8,4,0,0
0,1,0.286852598,8,-9,0,1
1,0,0.0176693,10,-7,0,1
1,0,0.0072904,10,-9,0,1
0,0,0.204933897,10,-7,0,0
0,0,0.391709596,10,-6,0,0
0,0,0.73632127,10,7,0,0
1,0,0.073714703,10,-7,0,1
0,0,0.283093095,2,-9,0,0
0,0,0.509289622,10,-9,0,0
0,0,0.549450517,10,5,0,0
0,0,0.084041603,10,-9,1,0
0,0,0.337391287,5,-3,1,0
0,1,0.0024227,-5,-9,1,1
0,0,0.533551872,10,-9,1,0
1,1,0.966857016,-5,-9,0,1
1,0,0.0341423,10,-9,1,0
0,0,0.0130163,10,-3,1,0
0,0,0.51859951,5,2,1,0
0,0,0.548721671,2,1,1,0
0,0,0.835721612,2,-4,1,0
0,0,0.229885101,10,-1,1,0
1,0,0.0022655,10,2,1,0
1,0,0.038468398,10,2,1,1
0,0,0.0259475,10,5,1,0
0,0,0.936562777,10,10,2,0
0,0,0.300232202,10,10,2,0
0,1,0.781893015,10,-8,2,1
1,0,0.49814871,10,10,2,0
1,0,0.387483805,10,-9,2,1
0,0,0.565244317,4,-7,2,0
1,0,0.171595007,10,-9,0,1
0,1,0.994764388,10,-3,2,0
0,1,0.400191307,8,-9,0,1
0,1,0.078174703,1,-10,2,1
0,0,0.711610615,10,-3,2,0
1,0,0.762569427,10,-9,1,1
0,0,0.936067581,10,-10,2,0
0,0,0.1375999,10,-3,2,0
0,0,0.094165698,2,-6,1,0
1,0,0.661283374,10,-9,1,1
1,0,0.049565598,10,2,0,1
1,0,0.174002498,10,-3,1,1
0,0,0.667673707,-3,-10,2,0
1,0,0.056499802,10,-10,2,0
1,0,0.0031154,10,-6,2,0
0,0,0.236182898,10,-7,3,0
0,0,0.293359786,0,-8,3,0
0,0,0.144329906,10,-9,3,0
0,0,0.194888696,10,10,3,0
0,0,0.895430982,3,2,3,0
0,0,0.0751426,4,-10,3,0
1,0,0.0111425,10,-5,3,0
1,0,0.0151708,10,-6,3,1
0,0,0.776938915,-7,-9,3,0
1,0,0.333955586,10,-7,3,0
0,0,0.305028588,8,-7,1,0
1,0,0.437659591,10,-8,3,1
0,1,0.194236398,-7,-9,3,1
0,1,0.467600912,10,1,0,1
1,0,0.091184601,-7,-9,3,1
0,0,0.61648941,-6,-7,3,0
0,0,0.623461187,3,0,3,0
0,1,0.357959598,2,-10,2,1
0,1,0.401793689,-7,-10,3,1
0,1,0.578947425,2,-7,3,1
0,1,0.691770196,10,-7,0,1
0,0,0.135061398,5,-7,3,0
1,0,0.0051531,10,-10,3,0
1,0,0.0004201,10,-9,3,1
0,1,0.595335186,-7,-7,3,0
0,0,0.232443601,-1,-9,3,0
1,0,0.043965001,10,10,1,1
0,1,0.383426696,4,-9,0,1
1,0,0.584051311,10,-8,3,1
0,0,0.702006221,-1,-7,3,0
0,0,0.697336614,10,2,2,0
0,0,0.0835042,10,-6,4,0
0,0,0.317091703,-7,-9,4,0
0,1,0.350704998,10,-10,0,1
0,1,0.203159705,10,10,4,0
1,0,0.966116488,10,-7,4,0
0,1,0.058066402,5,-5,4,0
0,0,0.899595082,-3,-7,1,0
0,0,0.136122093,-5,-7,4,0
0,0,0.230131403,8,-8,1,1
0,0,0.655209184,10,-7,4,0
0,0,0.980557621,10,3,4,0
0,1,0.554485917,4,2,4,1
0,1,0.756053209,-3,-7,0,1
1,0,0.647459328,10,-7,4,0
0,1,0.374547511,10,1,0,1
0,0,0.800692379,10,-7,4,0
0,0,0.464076996,8,-5,2,0
0,1,0.371038109,9,4,0,1
0,1,0.324624687,4,-10,0,1
0,0,0.275802493,8,-7,2,0
1,0,0.393531591,10,-8,0,1
1,0,0.583720028,10,-9,0,1
1,1,0.660017788,9,-8,3,1
1,0,0.0110991,10,-3,4,0
0,0,0.74295193,-5,-8,4,0
0,0,0.760237813,8,4,4,0
1,0,0.515536129,10,-8,0,1
0,0,0.039586801,9,2,3,0
0,1,0.866891384,10,2,0,1
0,0,0.923756003,8,-4,4,0
0,1,0.869553089,4,-7,4,1
1,0,0.089565501,10,-9,4,0
0,0,0.0095953,10,10,5,0
0,1,0.575189471,4,2,0,1
0,1,0.857468724,-5,-9,0,0
1,0,0.0036047,10,-9,5,0
0,0,0.053162199,10,-3,5,0
0,1,0.913110971,10,2,0,1
0,0,0.621085882,10,0,2,1
0,0,0.155799702,9,-1,4,0
1,0,0.0065234,10,7,3,0
1,1,0.078335501,-8,-8,0,1
0,0,0.42352131,4,-7,3,0
0,0,0.762064576,7,-3,3,0
0,1,0.277290612,4,-10,0,1
1,0,0.039461002,4,-9,5,0
0,1,0.370536596,9,4,0,1
1,0,0.126522496,10,-1,4,1
1,0,0.164729401,10,1,5,1
1,0,0.427535713,10,0,2,1
1,0,0.691027522,10,-8,0,1
0,0,0.55346781,10,1,5,0
0,0,0.0125186,10,-6,5,0
1,0,0.143364906,10,-8,0,1
0,0,0.593500018,1,-9,5,0
0,0,0.452065498,8,-4,5,0
0,1,0.398747712,10,1,0,1
1,1,0.045510501,-1,-9,4,1
0,0,0.577622414,10,0,5,0
0,0,0.0258493,-3,-7,5,0
0,0,0.113646597,10,-5,5,0
0,0,0.559121609,10,8,5,0
1,0,0.052986301,10,7,3,0
0,0,0.220029801,-3,-5,2,0
1,0,0.723183393,10,-8,0,1
0,1,0.541555405,10,-7,6,1
0,0,0.684639812,10,-3,6,0
0,0,0.149197698,10,-3,6,0
0,0,0.761254489,10,4,6,0
0,0,0.222925499,10,-7,6,0
1,0,0.190380901,10,-8,0,1
1,1,0.066562399,10,-9,6,1
0,0,0.043416601,5,-7,6,0
1,0,0.090153202,10,-7,6,0
0,0,0.108492598,10,-6,6,0
1,0,0.0518777,10,-7,6,0
0,0,0.953752875,2,-9,6,0
0,0,0.832957089,-6,-9,6,0
1,0,0.510124683,10,-9,0,1
0,1,0.452504009,2,-9,6,1
0,0,0.141485199,10,-8,6,0
0,1,0.924536109,10,-7,0,1
0,0,0.548767388,-4,-9,6,0
0,1,0.365685791,9,5,0,1
1,0,0.0020863,10,-5,6,0
0,0,0.908899128,-5,-6,6,0
0,0,0.0242038,10,-6,6,0
0,1,0.064935699,10,-9,6,1
0,0,0.799136877,8,5,4,0
0,0,0.52970928,10,-6,6,0
0,0,0.203483701,-7,-9,6,0
0,0,0.441249698,-1,-7,6,0
0,0,0.53466171,-7,-9,6,0
0,0,0.694498181,-7,-8,3,0
0,0,0.337144405,4,2,6,0
1,0,0.171272397,10,-6,3,1
1,0,0.0044241,10,2,6,1
0,1,0.986385703,4,-7,1,1
0,0,0.890475512,10,-7,7,0
0,1,0.544316888,10,-7,7,1
1,0,0.066256501,-7,-8,3,1
0,1,0.337356001,10,-4,1,1
0,0,0.567827106,10,-6,5,0
0,0,0.478346497,2,-10,7,0
1,0,0.739344418,10,-8,0,1
1,0,0.122211002,10,2,7,0
0,0,0.686891198,-7,-8,4,1
0,0,0.966713309,4,-9,7,0
0,0,0.081401601,10,2,7,0
0,0,0.379783899,10,-10,7,0
0,0,0.502303004,10,-8,4,1
0,1,0.551550686,4,2,1,1
0,0,0.06944,10,-1,7,0
0,1,0.952589989,10,-7,0,1
0,0,0.029472901,5,-3,6,0
0,0,0.514285684,-5,-7,7,0
1,1,0.303718805,10,-7,1,1
0,0,0.745576501,10,0,1,1
1,1,0.111600503,-8,-8,0,1
0,0,0.109988801,7,-7,5,0
0,1,0.838050425,8,-6,5,1
1,0,0.1830865,10,-8,0,1
1,0,0.071420997,10,-7,7,1
0,0,0.534001172,8,-8,0,1
0,0,0.022095401,10,-1,7,0
0,0,0.147397995,10,-6,7,0
0,0,0.184583902,-4,-9,4,0
0,1,0.373337507,10,-7,0,1
0,1,0.448839694,10,10,7,0
0,0,0.105392098,10,-10,7,0
1,1,0.471915096,10,-8,1,1
0,1,0.551472127,10,-7,0,1
0,1,0.542442977,4,2,0,1
1,1,0.629193783,9,-8,3,1
0,1,0.391481906,10,-4,0,1
0,0,0.279331386,10,-5,8,0
1,0,0.90929842,10,9,7,0
0,0,0.072818801,10,-1,8,0
1,1,0.124210499,-8,-8,0,1
0,1,0.64605552,-4,-7,0,1
0,1,0.844072521,8,-6,0,1
0,0,0.933163822,4,2,8,0
0,0,0.287488908,10,-1,8,0
0,0,0.70270282,10,-9,8,0
1,0,0.0154933,8,-8,8,0
0,0,0.425406188,10,5,8,0
1,0,0.503469706,10,-8,0,1
0,0,0.083646797,9,-9,7,1
1,1,0.0166637,10,-7,8,1
0,0,0.55301249,-7,-9,8,0
0,0,0.831359327,10,4,8,0
0,1,0.585526288,10,-8,4,1
0,0,0.0038106,10,9,7,0
0,0,0.243553907,2,-7,8,0
0,1,0.969884872,10,7,0,1
0,0,0.128167704,5,-10,7,0
0,0,0.28001529,7,-8,5,0
1,0,0.0043294,10,2,1,1
0,0,0.606839478,5,-4,8,0
1,0,0.710146785,10,-8,0,1
1,0,0.01237,10,10,8,1
0,0,0.153485805,10,10,9,0
0,1,0.934076071,10,7,0,1
0,0,0.548888326,10,-7,7,1
0,0,0.349830002,8,-9,7,0
0,0,0.1168091,10,-6,9,0
1,0,0.207376793,10,-8,1,1
1,0,0.0105089,10,-4,9,0
0,0,0.091042601,10,2,9,0
1,0,0.0159392,10,8,7,0
0,1,0.25510329,7,4,9,1
0,1,0.377496213,10,10,9,0
0,0,0.154081598,-3,-9,9,0
0,0,0.0635124,0,-5,6,0
0,0,0.411340088,10,10,9,0
0,0,0.185039401,5,-1,9,0
0,0,0.182577103,7,5,8,0
1,0,0.548381209,10,-8,0,1
0,1,0.420644999,10,-4,0,1
1,0,0.035643902,10,-10,9,1
1,0,0.0048437,10,2,0,1
0,0,0.089539401,-7,-9,9,0
0,1,0.361063093,10,-7,0,1
0,0,0.951884329,5,-9,9,0
1,0,0.0129011,10,4,9,1
0,1,0.860011816,8,-2,0,1
0,0,0.990585804,-2,-9,1,0
0,0,0.630360782,7,-9,9,0
1,0,0.203713298,-7,-8,9,0
0,0,0.995863616,10,-7,9,0
1,1,0.620504379,9,-8,0,1
0,0,0.493967891,5,-7,9,0
0,0,0.0165199,10,-3,9,0
1,1,0.293829888,10,-7,0,1
0,1,0.445497602,10,-1,0,1
0,0,0.612935126,10,-10,9,0
0,1,0.238057494,5,-10,3,1
0,0,0.752021611,-6,-9,9,0
0,0,0.34029901,10,-8,3,1
0,0,0.950741887,-7,-9,2,0
1,1,0.062630199,10,-7,2,1
0,0,0.128695399,-7,-7,9,0
1,1,0.152412504,-4,-8,1,1
0,0,0.810650826,10,5,9,0
0,1,0.056076799,10,-9,2,1
0,1,0.544329882,4,2,0,1
0,1,0.356313109,9,5,2,1
0,1,0.034088001,9,-7,8,0
1,1,0.177688703,5,-8,8,1
0,0,0.142600894,5,-1,10,0
0,0,0.878254175,10,10,8,0
1,0,0.017890301,10,-6,6,1
0,1,0.359595209,9,8,0,1
0,0,0.123937801,10,-7,10,0
1,0,0.040810801,10,-10,0,1
0,0,0.083730303,9,-9,0,1
0,0,0.910848498,-9,-9,10,0
0,0,0.0550518,10,-3,2,0
0,0,0.744342029,10,-7,10,0
0,0,0.288429707,5,-5,10,0
0,1,0.520558596,-10,-10,10,0
1,1,0.1436667,-7,-7,10,1
1,1,0.616050124,9,-8,0,1
0,0,0.140389293,7,-7,8,0
0,1,0.475847095,-1,-10,10,1
0,0,0.094299302,-7,-9,10,0
0,0,0.303693801,10,-8,1,1
1,1,0.041891899,8,-8,8,1
0,1,0.424449086,-3,-9,2,1
0,0,0.625299275,-3,-8,2,1
1,0,0.006043,-5,-8,10,0
0,1,0.241150007,8,-10,0,1
0,0,0.295831412,10,-1,10,0
1,0,0.53761369,10,-8,1,0
0,0,0.247252703,-4,-8,2,0
1,1,0.0153732,-7,-8,10,1
0,0,0.258643299,9,-7,9,0
0,0,0.0130783,10,-6,10,0
1,1,0.123505697,-8,-8,0,1
0,0,0.150605604,10,-3,1,0
1,0,0.558677316,10,-8,0,1
1,0,0.111501902,10,-7,10,0
0,0,0.41813311,10,-4,10,0
0,1,0.034207899,9,-7,9,0
1,1,0.045888402,10,-6,10,1
0,1,0.54807651,10,-7,1,1
1,1,0.020320101,10,-7,10,1
0,0,0.267415792,10,-6,10,0
0,0,0.133058295,-7,-7,11,0
0,1,0.094131701,9,8,9,1
0,1,0.580858111,10,-8,1,1
0,0,0.918247223,10,4,11,0
0,1,0.593771577,7,-9,7,1
0,0,0.897238016,-4,-7,8,0
0,0,0.730715275,-7,-8,8,0
0,1,0.374139011,10,-7,0,1
0,1,0.856383026,-1,-8,11,1
0,0,0.846110106,10,7,11,0
1,0,0.596703172,10,-8,0,1
0,1,0.528325081,10,-9,0,1
0,1,0.055969398,10,-9,1,1
0,0,0.043021299,-6,-10,11,0
0,0,0.670021296,-7,-8,3,0
0,1,0.840508819,-7,-8,3,0
0,0,0.143376604,10,-9,2,0
0,1,0.3641949,9,8,0,1
0,0,0.851405621,-7,-9,11,0
0,0,0.088803098,-7,-9,11,0
1,1,0.109461397,-8,-8,0,1
1,0,0.079717502,10,-7,3,1
0,0,0.713316977,10,-1,3,1
0,0,0.106786802,10,4,5,0
0,0,0.978622317,-7,-8,5,0
0,1,0.254580498,-5,-7,1,1
0,0,0.640506327,5,-10,11,0
0,0,0.077267602,10,-9,11,0
0,0,0.705159307,10,-10,11,0
0,0,0.3114115,10,-3,11,0
0,0,0.927545309,10,-7,11,0
0,1,0.917082071,10,-10,9,1
0,0,0.513640583,4,-7,11,0
0,0,0.831143677,-1,-7,11,0
1,0,0.016775399,10,5,11,1
1,1,0.022034399,10,-7,0,1
1,1,0.94050318,10,10,2,0
1,0,0.0526952,7,-8,3,0
0,1,0.704375386,-4,-8,1,1
0,1,0.187984496,8,-9,4,1
1,1,0.1121023,-8,-8,0,1
1,0,0.635837376,10,-8,0,1
0,0,0.266930014,10,-1,9,0
0,0,0.296222389,10,-7,10,0
1,1,0.445362002,10,-8,3,1
0,0,0.828484297,10,5,1,0
1,0,0.071233504,10,-8,4,1
0,1,0.360529214,4,-5,12,1
1,0,0.0016421,10,10,12,1
0,0,0.96211189,-4,-7,9,0
1,0,0.1039491,10,4,12,0
0,0,0.563300073,4,-3,12,0
0,1,0.294107795,-7,-7,2,1
0,0,0.056242,10,4,12,0
1,0,0.0275367,5,-5,12,0
1,0,0.0036969,10,-5,12,1
0,1,0.357008904,9,-7,0,1
1,0,0.584192872,10,-8,3,1
0,0,0.076913401,10,-5,12,0
1,0,0.193407193,10,-7,1,1
0,1,0.429146886,10,-4,2,1
0,1,0.518481612,4,4,12,1
0,1,0.450410098,5,-1,2,1
0,0,0.79343468,10,-10,12,0
0,0,0.562726617,8,-10,4,0
1,0,0.020602699,10,-9,11,1
0,0,0.549985886,10,-8,9,0
0,0,0.896515071,10,-7,12,0
0,0,0.350899905,10,-5,2,0
0,1,0.433601409,-3,-9,1,1
0,0,0.303626508,10,6,12,0
0,0,0.446799487,10,-9,12,0
0,1,0.385791808,-7,-9,3,1
1,0,0.027011899,8,-7,10,0
0,0,0.085427202,6,-9,12,0
1,0,0.038892001,10,-8,1,1
1,1,0.559637904,9,-8,1,1
0,0,0.094639502,-7,-9,12,0
0,0,0.171280295,5,4,12,0
0,0,0.074784301,-7,-9,12,0
0,0,0.223460898,10,8,10,0
0,0,0.064968102,-5,-8,4,0
1,0,0.330366313,5,-7,1,1
1,0,0.040348198,10,-7,0,1
0,0,0.912734926,10,-8,4,1
0,0,0.0167921,10,-9,6,0
1,1,0.332184106,10,-7,0,1
0,0,0.612697005,8,-5,2,0
1,0,0.0039957,10,-9,12,1
0,1,0.135729104,-5,-6,12,1
1,1,0.036967002,8,-8,2,1
0,0,0.407773614,10,-7,13,0
0,1,0.694933891,10,-9,0,1
0,1,0.542435408,10,2,10,1
1,1,0.028934499,5,-9,0,1
0,1,0.384596586,8,-7,11,1
1,0,0.0155878,10,10,4,1
0,0,0.959999979,-1,-7,7,0
1,1,0.113495901,-8,-8,0,1
0,0,0.584851503,10,-4,4,0
0,0,0.484143704,10,-5,13,0
0,0,0.890301287,10,8,11,0
1,1,0.0121973,2,-8,2,1
0,0,0.0515524,10,5,13,0
0,1,0.814673901,4,-7,1,1
0,1,0.841785729,8,-7,3,1
0,1,0.360301405,9,-7,0,1
1,0,0.021116501,10,-7,13,0
0,0,0.828528881,8,-5,3,0
1,0,0.0148116,10,-5,0,0
0,0,0.630800784,2,-5,3,0
0,0,0.551784575,10,-7,4,0
1,1,0.050962999,-7,-10,7,1
0,0,0.774999976,2,-9,13,0
0,0,0.355826706,10,-7,2,0
1,0,0.085738197,-7,-8,0,0
0,1,0.433185488,10,-4,0,1
0,0,0.144397303,-3,-7,5,0
0,1,0.077791698,-1,-9,13,1
0,0,0.157878995,-8,-9,5,0
1,1,0.044374298,-3,-8,2,1
0,0,0.787878811,-7,-8,7,0
1,0,0.0109674,10,-9,1,0
0,0,0.098613903,10,2,13,0
1,1,0.0207437,10,-7,13,1
0,1,0.558688521,-5,-10,5,1
0,0,0.971290112,-6,-7,13,0
0,0,0.093517497,10,10,13,0
0,1,0.469700307,5,-1,0,1
0,0,0.062630497,-7,-7,13,0
1,0,0.0387992,5,-7,13,1
0,1,0.434830487,-3,-9,0,1
0,0,0.830188572,10,-10,13,0
1,1,0.328260392,10,-7,0,1
1,1,0.102985598,-4,-7,10,1
0,0,0.818389893,-3,-9,5,0
1,0,0.142576203,6,-7,13,1
1,0,0.0044823,10,-9,13,1
0,0,0.273213506,6,-7,13,0
0,1,0.497881711,-5,-7,13,1
0,0,0.767151773,-6,-7,13,0
1,1,0.52937448,9,-8,0,1
0,1,0.218641803,-7,-9,1,1
0,0,0.67017293,10,-5,0,1
1,0,0.098008901,5,-5,4,1
1,0,0.082677603,10,-7,14,1
0,0,0.753883779,10,-5,14,0
0,1,0.231693998,-1,-7,6,1
0,0,0.182210699,10,-8,14,0
0,0,0.50498718,-7,-7,4,0
0,0,0.202193603,-1,-7,6,0
0,0,0.157462701,6,-7,8,0
1,0,0.018585701,10,10,14,0
0,0,0.71811533,2,-9,7,0
0,1,0.3584764,9,-7,0,1
0,0,0.255598992,10,2,14,0
0,1,0.486642987,5,-1,0,1
1,1,0.033041999,5,-9,0,1
0,0,0.618288398,-5,-7,14,0
0,0,0.650493324,4,-7,13,0
0,0,0.707810223,-7,-8,12,0
0,0,0.092512801,-7,-9,4,0
0,1,0.188906193,-1,-8,0,1
0,1,0.176391497,-7,-9,0,1
0,0,0.740168571,-9,-10,14,0
0,0,0.293729395,10,-8,3,0
1,0,0.0050089,-1,-7,6,1
0,0,0.341782302,8,-9,11,0
1,0,0.031741001,10,10,5,1
0,1,0.344044089,10,10,5,1
1,1,0.0115491,-8,-10,0,1
0,1,0.422607213,10,8,0,1
0,1,0.427758187,-3,-9,0,1
0,1,0.297904402,10,-7,0,1
0,1,0.832735121,-3,-8,6,1
1,1,0.1310132,8,-8,4,1
0,0,0.528730571,8,-1,12,0
0,0,0.787918389,4,-8,11,0
0,0,0.221843004,7,-6,12,0
0,0,0.383950889,8,-3,6,0
0,0,0.137459204,10,2,14,0
0,1,0.246553704,-7,-10,3,1
1,0,0.0078651,10,-7,4,0
0,1,0.97956419,10,-7,5,1
0,0,0.37371251,10,5,14,0
0,0,0.871829987,6,-9,14,0
1,0,0.001922,10,10,0,1
0,0,0.633333325,-5,-9,14,0
0,1,0.769466281,-7,-7,14,0
0,0,0.998352587,-5,-9,14,0
0,0,0.049159199,-6,-7,14,0
1,0,0.740912974,10,-8,1,1
0,0,0.49619171,8,-8,6,0
0,0,0.728277981,-3,-9,8,0
0,1,0.405950487,-7,-9,1,1
1,1,0.082346298,10,10,15,1
0,0,0.485337287,10,10,15,0
1,0,0.0128744,-7,-8,5,0
0,0,0.853897989,5,-7,15,0
0,0,0.231010199,10,-10,15,0
0,0,0.065925501,4,-10,15,0
0,1,0.25833261,-7,-10,0,1
0,1,0.407313496,10,-7,0,1
0,0,0.059267901,-7,-9,1,0
0,0,0.254839897,-1,-10,15,0
0,0,0.424788386,10,-7,9,0
0,1,0.303569198,10,-7,0,1
0,1,0.622614622,5,-8,4,1
0,0,0.922721922,5,-7,15,0
0,0,0.740243912,-7,-8,7,0
0,0,0.304176003,10,-10,15,0
0,1,0.357908487,9,-7,0,1
0,0,0.969272017,-1,-7,15,0
0,0,0.104930498,7,-7,1,0
0,0,0.434552193,10,-1,1,0
0,1,0.713978529,-7,-7,1,0
0,0,0.822255015,-5,-9,7,0
0,1,0.291604489,-5,-7,2,1
0,0,0.076148704,5,-6,15,0
1,1,0.352266908,10,-7,0,1
0,0,0.66495502,10,-5,0,1
0,1,0.184977502,7,-9,0,1
0,0,0.413436294,-3,-7,7,0
0,0,0.945454478,-4,-7,1,0
0,0,0.220113903,-4,-9,1,0
1,0,0.086869203,10,-9,15,0
1,1,0.034143601,5,-9,0,1
0,0,0.079061501,9,-9,4,1
0,0,0.837277889,-7,-7,14,0
0,0,0.267219901,-8,-9,8,0
0,0,0.073842302,-7,-8,12,0
0,0,0.331782907,10,-10,6,0
0,0,0.293577999,-1,-9,1,1
0,0,0.154929504,10,2,1,0
1,1,0.505777717,9,-8,0,1
0,0,0.027239401,10,-7,1,0
0,0,0.769605994,7,4,15,0
0,0,0.166648403,10,-9,7,0
0,0,0.035319101,-7,-7,1,0
0,1,0.563535929,-7,-8,1,0
0,0,0.027756,9,8,14,0
0,0,0.526408374,7,-7,1,0
0,0,0.122160599,2,-9,1,1
1,1,0.042762499,-3,-8,1,1
0,1,0.977133393,10,-7,1,0
0,1,0.228882805,-6,-8,1,1
0,0,0.245654106,5,-7,15,0
0,0,0.701321185,7,-9,15,0
0,0,0.833326221,10,-7,15,0
0,0,0.892499983,2,-7,15,0
0,0,0.953659177,10,-8,6,0
0,0,0.118230298,10,-9,15,0
0,0,0.471513987,6,-10,15,0
1,1,0.0174121,10,-7,0,1
0,0,0.821681082,-3,-9,16,0
0,0,0.829505682,10,-7,16,0
1,0,0.0046638,0,-7,16,0
0,0,0.964189291,8,-7,2,0
1,0,0.0200065,10,0,3,1
0,1,0.674279571,10,-9,0,1
0,1,0.728833199,-7,-8,0,1
1,0,0.0101255,-7,-7,6,0
0,0,0.147642106,10,5,7,0
0,1,0.315508008,-4,-7,2,1
0,0,0.849267781,10,-9,16,0
0,0,0.380042404,10,6,1,0
0,0,0.103465803,10,7,2,0
0,0,0.463664114,6,-9,8,0
0,0,0.273416609,-8,-9,6,0
0,0,0.221108094,10,7,14,0
0,0,0.297063887,-6,-9,2,0
0,1,0.370291591,10,-7,0,1
1,1,0.115854703,-8,-8,2,1
0,0,0.363157898,-8,-9,13,0
0,0,0.346715301,-2,-9,1,0
0,0,0.606658876,5,-6,16,0
0,0,0.490645587,10,-7,16,0
0,0,0.222080901,10,-7,6,0
0,0,0.493522286,10,10,7,0
0,0,0.038966399,-7,-9,2,0
0,0,0.105284899,10,5,16,0
1,0,0.0014818,-6,-8,16,0
0,1,0.223086998,-6,-9,0,1
1,1,0.379233509,10,-7,0,1
0,1,0.084629402,-1,-9,2,1
0,0,0.562004328,10,-8,8,0
0,0,0.356971115,10,-1,5,0
0,1,0.370527893,5,-3,16,1
1,0,0.049278099,10,-8,0,1
0,1,0.949999928,-7,-9,2,0
0,1,0.031861302,9,-9,15,1
0,0,0.685441911,5,-7,16,0
0,0,0.827320814,10,7,14,0
0,1,0.990740776,-1,-8,4,1
0,1,0.377208203,10,-7,0,1
0,1,0.945694327,10,-2,0,1
0,0,0.819982827,-5,-9,5,0
0,0,0.301447213,-7,-9,13,0
0,1,0.360093504,9,1,0,1
